lane_section	bn_topics	lane_says	bn_says
1262	bn-195-genitive-with-nouns	1262. A possessive pronoun or adjective is sometimes used for the objective genitive: as, 	Genitive with Nouns
1263	bn-204-genitive-with-adjectives	1263. (1.) The genitive is used with many adjectives to denote the object. Such are chiefl	Genitive with Adjectives
1265	bn-204-genitive-with-adjectives	1265. With cōnscius and the genitive of a thing, the dative of a person is sometimes added	Genitive with Adjectives
1266	bn-204-genitive-with-adjectives	1266. (2.) The genitive of the object is often used with present participles which express	Genitive with Adjectives
1271	bn-195-genitive-with-nouns	1271. A few neuter adjectives of quantity are put in the genitive with verbs of valuing to	Genitive with Nouns
1273	bn-218-instrumental-uses-of-the-ablative	1273. With aestimō, the ablatives magnō and permagnō are sometimes used: as, quid? tū ista	Instrumental Uses of the Ablative
1277	bn-205-genitive-with-verbs	1277. (1.) With rēfert and interest, a first or second person concerned is denoted by the 	Genitive with Verbs
1278	bn-205-genitive-with-verbs	1278. (2.) With interest, from Cicero on, a third person or thing concerned is denoted by 	Genitive with Verbs
1279	bn-205-genitive-with-verbs	1279. The matter of concern is expressed by a sentence or infinitive, or by a neuter prono	Genitive with Verbs
1280	bn-205-genitive-with-verbs	1280. Verbs of accusing, convicting, condemning, and acquitting, take a genitive of the ch	Genitive with Verbs
1286	bn-205-genitive-with-verbs	1286. Personal verbs of desiring, loathing, admiring, and dreading, sometimes take the gen	Genitive with Verbs
1287	bn-205-genitive-with-verbs	1287. The genitive is used with verbs of remembering and forgetting when they denote an in	Genitive with Verbs
1288	bn-205-genitive-with-verbs	1288. The accusative is used with these verbs when they denote the mere intellectual exerc	Genitive with Verbs
1291	bn-205-genitive-with-verbs	1291. Verbs of reminding take the accusative of a person and sometimes with it the genitiv	Genitive with Verbs
1292	bn-205-genitive-with-verbs	1292. Verbs of participation and mastery sometimes take the genitive in old Latin and in p	Genitive with Verbs
1293	bn-205-genitive-with-verbs	1293. The genitive is sometimes used with verbs of filling, abounding, and lacking, as it 	Genitive with Verbs
1302	bn-214-genuine-ablative-uses	1302. Verbs of separation take an ablative of the thing from which separation takes place:	Genuine Ablative Uses
1306	bn-214-genuine-ablative-uses	1306. The ablative of separation is sometimes used with such adjectives as aliēnus, expers	Genuine Ablative Uses
1307	bn-228-locative-uses-of-the-ablative	1307. (1.) Proper names of towns and of little islands are put in the ablative with verbs 	Locative Uses of the Ablative
1308	bn-228-locative-uses-of-the-ablative	1308. Singular town or island names sometimes have ex in old Latin: thus, Carystō, Pl. Ps.	Locative Uses of the Ablative
1310	bn-228-locative-uses-of-the-ablative	1310. With a verb, country names regularly have a preposition, and always in Cicero, Sallu	Locative Uses of the Ablative
1314	bn-214-genuine-ablative-uses	1314. A substantive denoting stuff or material is generally put in the ablative with dē or	Genuine Ablative Uses
1315	bn-218-instrumental-uses-of-the-ablative	1315. The ablative with forms of faciō and sum denotes that with which or to which somethi	Instrumental Uses of the Ablative
1316	bn-218-instrumental-uses-of-the-ablative	1316. The ablative is used to denote cause, influence, or motive: as, madeō metū, Pl. Most	Instrumental Uses of the Ablative
1317	bn-218-instrumental-uses-of-the-ablative	1317. Instead of the ablative, other constructions often occur, especially with verbs used	Instrumental Uses of the Ablative
1318	bn-214-genuine-ablative-uses	1318. The person by whom the action of a passive verb is done, is denoted by the ablative 	Genuine Ablative Uses
1320	bn-214-genuine-ablative-uses	1320. (1.) The ablative may be used with a comparative adjective, when the first of two th	Genuine Ablative Uses
1324	bn-214-genuine-ablative-uses	1324. (1.) The second member of comparison is often introduced by quam, than, or in poetry	Genuine Ablative Uses
1326	bn-214-genuine-ablative-uses	1326. An introductory ablative of a demonstrative or relative pronoun sometimes precedes t	Genuine Ablative Uses
1328	bn-214-genuine-ablative-uses	1328. Designations of number or extent are often qualified by amplius, longius, or plūs, o	Genuine Ablative Uses
1329	bn-214-genuine-ablative-uses	1329. In expressions of age with nātus, the adjectives maior and minor are used as well as	Genuine Ablative Uses
1330	bn-214-genuine-ablative-uses	1330. With a comparative adjective or adverb, the ablatives opīniōne, exspectātiōne, and s	Genuine Ablative Uses
1333	bn-169-appositives,bn-232-the-locative	1333. When the locative is further explained by an appellative following, the appellative 	Appositives; The Locative
1335	bn-228-locative-uses-of-the-ablative,bn-232-the-locative	1335. A town name is sometimes put in the ablative with in by assimilation with a parallel	Locative Uses of the Ablative; The Locative
1337	bn-232-the-locative	1337. (2.) The locatives domī, rūrī, humī, and rarely orbī, are used like proper names of 	The Locative
1342	bn-232-the-locative,bn-228-locative-uses-of-the-ablative	1342. (1.) Plural proper names of towns and of little islands are put in the locative abla	The Locative; Locative Uses of the Ablative
1343	bn-232-the-locative,bn-228-locative-uses-of-the-ablative	1343. (2.) Singular proper names of towns with consonant stems are oftener put in the loca	The Locative; Locative Uses of the Ablative
1345	bn-228-locative-uses-of-the-ablative	1345. Certain appellatives, with an attribute, often denote the place where by the locativ	Locative Uses of the Ablative
1348	bn-228-locative-uses-of-the-ablative	1348. The locative ablative is sometimes used with such verbs as teneō and recipiō: as, (a	Locative Uses of the Ablative
1349	bn-218-instrumental-uses-of-the-ablative	1349. The locative ablative is used with fīdō and cōnfīdō, glōrior, laetor, nītor, stō, an	Instrumental Uses of the Ablative
1351	bn-228-locative-uses-of-the-ablative	1351. Words not in themselves denoting periods or points of time, are in the same way put 	Locative Uses of the Ablative
1352	bn-228-locative-uses-of-the-ablative	1352. (2.) The locative ablative is used to denote the space of time within which action o	Locative Uses of the Ablative
1354	bn-228-locative-uses-of-the-ablative	1354. An ablative of the time within which action occurs is sometimes followed by a relati	Locative Uses of the Ablative
1355	bn-228-locative-uses-of-the-ablative	1355. The ablative is exceptionally used to denote duration of time: as, tōtā nocte contin	Locative Uses of the Ablative
1356	bn-218-instrumental-uses-of-the-ablative	1356. A few indefinite designations of military forces denote accompaniment by the ablativ	Instrumental Uses of the Ablative
1358	bn-218-instrumental-uses-of-the-ablative	1358. (1.) Certain substantives without an attribute are put in the ablative alone to deno	Instrumental Uses of the Ablative
1359	bn-218-instrumental-uses-of-the-ablative	1359. (2.) The ablative of a substantive with an attribute is often used to denote manner,	Instrumental Uses of the Ablative
1362	bn-218-instrumental-uses-of-the-ablative	1362. (1.) The ablative of a substantive, with a predicate participle in agreement, is use	Instrumental Uses of the Ablative
1365	bn-218-instrumental-uses-of-the-ablative	1365. (2.) The ablative of a substantive, with a predicate noun in agreement, is often use	Instrumental Uses of the Ablative
1366	bn-218-instrumental-uses-of-the-ablative	1366. The nominative quisque, plerīque, or ipse, sometimes accompanies the ablative absolu	Instrumental Uses of the Ablative
1367	bn-218-instrumental-uses-of-the-ablative	1367. The ablative absolute may denote in a loose way various relations which might be mor	Instrumental Uses of the Ablative
1369	bn-218-instrumental-uses-of-the-ablative	1369. The substantive of the ablative absolute usually denotes a different person or thing	Instrumental Uses of the Ablative
1370	bn-218-instrumental-uses-of-the-ablative	1370. Two ablatives absolute often occur together, of which the first indicates the time, 	Instrumental Uses of the Ablative
1371	bn-218-instrumental-uses-of-the-ablative	1371. The substantive is sometimes omitted in the ablative absolute, particularly when it 	Instrumental Uses of the Ablative
1374	bn-218-instrumental-uses-of-the-ablative	1374. The ablative absolute is sometimes attended, especially in Livy and Tacitus, by an e	Instrumental Uses of the Ablative
1375	bn-218-instrumental-uses-of-the-ablative	1375. The ablative with an adjective in agreement or with a limiting genitive is used to d	Instrumental Uses of the Ablative
1376	bn-218-instrumental-uses-of-the-ablative	1376. The instrumental ablative is used with verbs of motion to denote the route taken: as	Instrumental Uses of the Ablative
1377	bn-218-instrumental-uses-of-the-ablative	1377. The ablative is used to denote the instrument or means: as, 236 pugnābant armīs, H. 	Instrumental Uses of the Ablative
1378	bn-218-instrumental-uses-of-the-ablative	1378. When the instrument is a person, the accusative with per is used: as, haec quoque pe	Instrumental Uses of the Ablative
1379	bn-218-instrumental-uses-of-the-ablative	1379. The instrumental ablative is used with the five deponents fruor, fungor, potior, ūto	Instrumental Uses of the Ablative
1383	bn-218-instrumental-uses-of-the-ablative	1383. With opus est, the thing wanted is often made the subject nominative or subject accu	Instrumental Uses of the Ablative
1385	bn-218-instrumental-uses-of-the-ablative	1385. The instrumental ablative is used to denote that in respect of which an assertion or	Instrumental Uses of the Ablative
1386	bn-218-instrumental-uses-of-the-ablative	1386. The instrumental ablative is used with verbs of abounding, filling, and furnishing: 	Instrumental Uses of the Ablative
1387	bn-218-instrumental-uses-of-the-ablative	1387. The ablative is sometimes used with adjectives of fulness, instead of the regular ge	Instrumental Uses of the Ablative
1388	bn-218-instrumental-uses-of-the-ablative	1388. The instrumental ablative is used with verbs of measuring and of exchanging, and in 	Instrumental Uses of the Ablative
1392	bn-218-instrumental-uses-of-the-ablative	1392. The ablative is also used with dignus and indignus: as, dignī maiōrum locō, Agr. 2, 	Instrumental Uses of the Ablative
1393	bn-218-instrumental-uses-of-the-ablative	1393. The instrumental ablative is used to denote the amount of difference. This ablative 	Instrumental Uses of the Ablative
1395	bn-141-prepositions	1395. (1.) When the time before or after which anything occurs is denoted by a substantive	Prepositions
1396	bn-359-peculiarities-in-the-use-of-the-genitive	1396. Sometimes in late writers, as Tacitus, Pliny the younger, and Suetonius, a genitive 	Peculiarities in the Use of the Genitive
1397	bn-282-moods-in-dependent-clauses	1397. (2.) When the time before or after which anything occurs is denoted by a sentence, t	Moods in Dependent Clauses
1398	bn-172-the-accusative	1398. Verbs of surpassing sometimes have an accusative of extent (1151): as, mīrāmur hunc 	The Accusative
1399	bn-218-instrumental-uses-of-the-ablative	1399. In numerical designations of distance, the words intervāllum and spatium are regular	Instrumental Uses of the Ablative
1408	bn-141-prepositions	1408. Even such words as are used almost exclusively as prepositions sometimes retain thei	Prepositions
1423	bn-141-prepositions	1423. (1.) in and sub accompany the accusative of the end of motion, the locative ablative	Prepositions
1424	bn-141-prepositions	1424. Verbs of rest sometimes have in with the accusative, because of an implied idea of m	Prepositions
1425	bn-141-prepositions	1425. (2.) super accompanies the ablative when it has colloquially the sense of dē, about,	Prepositions
1426	bn-141-prepositions	1426. (1.) Two substantives are sometimes connected by a preposition, to indicate certain 	Prepositions
1427	bn-353-style-nouns	1427. (2.) Very commonly, however, other constructions are used, even to indicate the rela	Style: nouns
1428	bn-141-prepositions	1428. Prepositional expressions are sometimes used predicatively: as, sunt omnēs sine macu	Prepositions
1429	bn-141-prepositions	1429. (1.) A preposition is often repeated with emphasis before two or more substantives: 	Prepositions
1430	bn-141-prepositions	1430. (2.) A preposition is often used with the first only of two or more substantives: as	Prepositions
1431	bn-141-prepositions	1431. (1.) When two prepositions belong to one and the same substantive, the substantive i	Prepositions
1432	bn-141-prepositions	1432. (2.) The second preposition is often used adverbially, without any substantive: as, 	Prepositions
1438	bn-347-syntax-of-adverbs	1438. Adverbs qualify verbs, adjectives, or adverbs. (a.) With verbs, all sorts of adverbs	Syntax of adverbs
1439	bn-347-syntax-of-adverbs	1439. An adverb is sometimes used with the meaning of an adjective: as, reliquīs deincēps 	Syntax of adverbs
1440	bn-347-syntax-of-adverbs	1440. Perfect participles used as substantives are commonly qualified by an adverb, and no	Syntax of adverbs
1442	bn-347-syntax-of-adverbs	1442. An adverb sometimes takes the place of a substantive: as, cum amīcī partim dēserueri	Syntax of adverbs
1445	bn-347-syntax-of-adverbs	1445. Negation is often expressed by other compounds of ne. In such cases the Latin idiom 	Syntax of adverbs
1447	bn-347-syntax-of-adverbs	1447. The form nē usually introduces an imperative or a subjunctive, as will be explained 	Syntax of adverbs
1449	bn-347-syntax-of-adverbs	1449. (2.) The negative haut or haud, not, is used principally with adjectives and adverbs	Syntax of adverbs
1452	bn-347-syntax-of-adverbs	1452. Two negatives in the same sentence are usually equivalent to an affirmative. Thus, w	Syntax of adverbs
1454	bn-240-comparatives-and-superlatives	1454. The positive sometimes expresses an idea of disproportion: as, prō multitūdine homin	Comparatives and Superlatives
1457	bn-240-comparatives-and-superlatives	1457. From Cicero on, an adjective or adverb is sometimes compared with another adjective 	Comparatives and Superlatives
1458	bn-240-comparatives-and-superlatives	1458. But sometimes the second member is put in the positive, even when the first has the 	Comparatives and Superlatives
1460	bn-240-comparatives-and-superlatives	1460. The comparative of an adjective or adverb often denotes that which is more than usua	Comparatives and Superlatives
1461	bn-240-comparatives-and-superlatives	1461. The comparative of disproportion is often defined by some added expression: as, prīv	Comparatives and Superlatives
1462	bn-240-comparatives-and-superlatives	1462. The comparative with a sentence of negative import is often preferred to the superla	Comparatives and Superlatives
1466	bn-240-comparatives-and-superlatives	1466. The superlative may be strengthened by the addition of such words as ūnus, preeminen	Comparatives and Superlatives
1467	bn-240-comparatives-and-superlatives	1467. The superlative is also used to denote a very high degree of the quality. This super	Comparatives and Superlatives
1468	bn-240-comparatives-and-superlatives	1468. In exaggerated style, the superlative of eminence may be capped by a comparative: as	Comparatives and Superlatives
1476	bn-214-genuine-ablative-uses,bn-218-instrumental-uses-of-the-ablative	1476. The person by whom the action is done is put in the ablative with ab or ā (1318); th	Genuine Ablative Uses; Instrumental Uses of the Ablative
1477	bn-214-genuine-ablative-uses,bn-218-instrumental-uses-of-the-ablative	1477. When the person is represented as a mere instrument, the ablative is used without ab	Genuine Ablative Uses; Instrumental Uses of the Ablative
1481	bn-256-voices	1481. The passive had originally a reflexive meaning, which is still to be seen in the pas	Voices
1483	bn-133-defective-verbs,bn-256-voices	1483. Passive forms of coepī and dēsinō are commonly used in the perfect system, when a de	Defective Verbs; Voices
1491	bn-112-deponent-verbs	1491. When it is desirable to express the passive of a deponent, a synonyme is sometimes u	Deponent Verbs
1495	bn-271-moods-in-independent-sentences	1495. Certain verbs and verbal expressions denoting ability, duty, propriety, necessity, a	Moods in Independent Sentences
1499	bn-162-form-of-interrogative-sentences	1499. The indicative is the mood ordinarily used in enquiries and in exclamations: as, (a.	Form of Interrogative Sentences
1500	bn-162-form-of-interrogative-sentences	1500. Questions and exclamations are used much more freely in Latin than in English. Parti	Form of Interrogative Sentences
1502	bn-162-form-of-interrogative-sentences	1502. (1.) Yes or No questions are sometimes put without any interrogative particle: as, T	Form of Interrogative Sentences
1504	bn-162-form-of-interrogative-sentences	1504. A question with -ne or -n may enquire simply, without any implication as to the char	Form of Interrogative Sentences
1506	bn-162-form-of-interrogative-sentences	1506. To a question with nōnne, a positive answer is usually expected, seldom a negative: 	Form of Interrogative Sentences
1507	bn-162-form-of-interrogative-sentences	1507. To a question with num a negative answer is generally expected. Less frequently eith	Form of Interrogative Sentences
1508	bn-162-form-of-interrogative-sentences	1508. A question with an, less often anne, or if negative, with an nōn, usually challenges	Form of Interrogative Sentences
1509	bn-162-form-of-interrogative-sentences	1509. (3.) Yes or No questions are sometimes introduced by ecquis, ecquō, ecquandō, or ēn 	Form of Interrogative Sentences
1512	bn-162-form-of-interrogative-sentences	1512. (1.) A positive answer is expressed by some emphatic word of the question, repeated 	Form of Interrogative Sentences
1514	bn-162-form-of-interrogative-sentences	1514. immō introduces a sentence rectifying a mistake, implied doubt, or understatement in	Form of Interrogative Sentences
1519	bn-162-form-of-interrogative-sentences	1519. Of two alternative questions, the first either has no interrogative particle at all,	Form of Interrogative Sentences
1520	bn-162-form-of-interrogative-sentences	1520. necne for an nōn is rare: as, sēmina praetereā linquontur necne animāī corpore in ex	Form of Interrogative Sentences
1522	bn-162-form-of-interrogative-sentences	1522. Sometimes an introductory utrum precedes two alternative questions with -ne and an: 	Form of Interrogative Sentences
1524	bn-162-form-of-interrogative-sentences	1524. Two or more separate questions asked with -ne . . . -ne, or with num ... num, must n	Form of Interrogative Sentences
1526	bn-162-form-of-interrogative-sentences	1526. Pronoun questions or exclamations are introduced by interrogative pronouns, or words	Form of Interrogative Sentences
1528	bn-162-form-of-interrogative-sentences	1528. In Plautus, Terence, Horace, and Livy, ut, how, also is used in questions: as, ut va	Form of Interrogative Sentences
1530	bn-162-form-of-interrogative-sentences	1530. Two or more questions or exclamations are sometimes united with one and the same ver	Form of Interrogative Sentences
1531	bn-162-form-of-interrogative-sentences	1531. A question in the indicative present or future may be used to intimate command or ex	Form of Interrogative Sentences
1533	bn-162-form-of-interrogative-sentences	1533. A question is sometimes united with a participle, or an ablative absolute, or thrown	Form of Interrogative Sentences
1535	bn-326-the-infinitive	1535. In animated narration, the present infinitive with a subject in the nominative somet	The Infinitive
1537	bn-326-the-infinitive	1537. The infinitive of intimation is sometimes used without a subject, when emphasis cent	The Infinitive
1539	bn-326-the-infinitive	1539. It may be mentioned here, that the infinitive of intimation is sometimes used from S	The Infinitive
1541	bn-279-optative-subjunctive	1541. (1.) The present and perfect represent a wish as practicable; although a hopeless wi	Optative Subjunctive
1542	bn-279-optative-subjunctive	1542. The present is very common in asseveration: as, peream, nisi sollicitus sum, Fam. 15	Optative Subjunctive
1544	bn-279-optative-subjunctive	1544. (2.) The imperfect represents a wish as hopeless in the present or immediate future,	Optative Subjunctive
1548	bn-274-hortatory-subjunctive,bn-275-jussive-subjunctive	1548. (1.) The present expresses what is to be done or is not to be done in the future: as	Hortatory Subjunctive; Jussive Subjunctive
